Provider Name,State,City,Claims Paid for Testing,Claims Paid for Treatment,Claims Paid for Vaccine,Georeferenced Column
SUTTER VALLEY MEDICAL,CA,TRACY,584,2318,597,POINT (-121.421127 37.738534)
NORTH EAST MEDICAL SER,CA,SAN FRANCISCO,1689,192,92,POINT (-122.420168 37.78008)
GREATER NEWBURYPORT EM,MA,MELROSE,1326,0,0,POINT (-71.064679 42.456133)
PRIVIA MEDICAL GROUP,MD,POTOMAC,4854,734,4645,POINT (-77.203926 39.026619)
MED STOP URGENT CARE,CA,SAN LUIS OBISPO,58661,5325,0,POINT (-120.660014 35.282619)
MERCY HEALTH PHYSICIAN,OH,URBANA,0,126,0,POINT (-83.750866 40.108014)
WOODWARD REGIONAL HOSP,OK,WOODWARD,132447,410540,0,POINT (-99.398387 36.433741)
INFECTIOUS DISEASE SPE,NJ,NEWARK,0,38173,0,POINT (-74.174388 40.731507)
MERCY CLINIC PHYSICAL,MO,EUREKA,507,528,0,POINT (-90.627978 38.502811)
SAINT AMANT FAMILY PHA,LA,SAINT AMANT,0,0,5025,POINT (-93.71848 32.019058)
CVS PHARMACY,KS,OVERLAND PARK,0,0,37,POINT (-94.683622 38.974799)
SE EMERGENCY PHYSICIAN,KY,PARIS,491,0,0,POINT (-84.25226 38.20954)
MCLAREN OAKLAND,IL,CHICAGO,9,0,0,POINT (-87.632398 41.883229)
GENERAL RADIOLOGY ASSO,MI,PONTIAC,210,671,0,POINT (-83.292696 42.638782)
THE CARDIOVASCULAR CAR,NJ,MORRISTOWN,0,277,0,POINT (-74.481595 40.79664)
MONOCACY HEALTH PARTNE,MD,MYERSVILLE,0,0,200,POINT (-77.566694 39.507076)
NORTH FLORIDA MEDICAL,FL,PANACEA,8761,167,1558,POINT (-84.387994 30.037388)
ROCKFORD RADIOLOGY ASS,IL,DIXON,625,170,0,POINT (-89.483511 41.848723)
RAKESH GUPTA,NY,BROOKLYN,1036,2997,1031,POINT (-73.990996 40.692529)
CITY OF NEW CONCORD,OH,NEW CONCORD,0,1808,0,POINT (-81.731857 39.993883)
SCHUYLKILL HEALTH SYST,PA,POTTSVILLE,13480,1087,0,POINT (-76.204738 40.681577)
MEDICAL ASSOCIATES OF,AR,BENTONVILLE,447,66,0,POINT (-94.202721 36.371868)
HENRY COUNTY MEMORIAL,IN,NEW CASTLE,2981,29589,240,POINT (-85.362982 39.924554)
PALMETTO HEALTH USC ME,SC,COLUMBIA,0,329,0,POINT (-81.037094 34.009286)
DEACONESS CLINIC INC,IN,EVANSVILLE,125,64,120,POINT (-87.569907 37.975708)
MERCY CLINIC PHYSICAL,MO,FENTON,134,75,0,POINT (-90.436736 38.512347)
CARLOS A CRUZ,MD,SILVER SPRING,0,0,1321,POINT (-77.028121 38.996088)
CID PA,NC,FAYETTEVILLE,0,80405,0,POINT (-78.883659 35.054417)
SOUTHWEST DIAGNOSTIC I,AZ,APACHE JUNCTION,29,335,0,POINT (-111.550262 33.414629)
RADIOLOGY ASSOCIATES A,NM,ALBUQUERQUE,2428,4611,0,POINT (-106.649241 35.084248)
AGAPE SENIOR PRIMARY C,SC,ROCK HILL,5447,0,0,POINT (-81.0301 34.94133)
CURATIVE MEDICAL ASSOC,CA,RIVERSIDE,0,0,9849172,POINT (-117.377025 33.980534)
COMPASSION PEDIATRICS,KY,PIKEVILLE,2523,253,0,POINT (-82.51967 37.479465)
MID ATLANTIC PAIN SPEC,NJ,VINELAND,7423,250,0,POINT (-75.02578 39.48618)
ARKANSAS WOMENS CENTER,AR,LITTLE ROCK,0,1172,0,POINT (-92.275105 34.748745)
THE URGENCY ROOM,MN,SAINT PAUL,21502,5551,0,POINT (-93.094281 44.943719)
SOUTH SHORE MEDICAL CE,MA,WEYMOUTH,27,0,0,POINT (-70.936898 42.217534)
PRESBYTERIAN HEALTHCAR,NM,ALBUQUERQUE,2566,4333,193548,POINT (-106.649241 35.084248)
PACKARD MEDICAL PHARMA,MA,LAWRENCE,520,0,4631,POINT (-71.161795 42.708471)
BRISTOL HOSPITAL MULTI,CT,BRISTOL,0,7664,0,POINT (-72.945791 41.673037)
MOREHOUSE PHARMACEUTIC,LA,BASTROP,0,0,1450,POINT (-91.910257 32.777321)
C AND B MAIN DISCOUNT,OH,KINSMAN,40,0,2687,POINT (-80.579483 41.455563)
WILSON COUNTY EMERGENC,TN,LEBANON,0,21282,0,POINT (-86.306476 36.213087)
FAMILY HEALTH CENTERS,CA,CHULA VISTA,1336477,307239,62816,POINT (-117.084042 32.640071)
OHIO HOSPITAL BASED PH,OH,CANTON,0,148,0,POINT (-81.377036 40.797388)
HACKENSACK UMC AT PASC,NJ,WESTWOOD,55893,635261,10983,POINT (-74.032819 40.99128)
UK HEALTHCARE HOSPITAL,KY,LEXINGTON,109,739,0,POINT (-84.497021 38.046356)
VITALITY RX,CA,FOLSOM,280,0,4640,POINT (-121.163738 38.681325)
BATESVILLE MEDICAL CLI,MS,BATESVILLE,113,2925,0,POINT (-89.951029 34.313747)
TOP VALUE PHARMACY LLC,NY,BRONX,0,0,30816,POINT (-73.920265 40.826153)
WOLF INDUSTRIES INC DB,MS,GULFPORT,0,6509,0,POINT (-89.091582 30.369834)
SAINT FRANCIS HEALTHCA,MO,PIEDMONT,46170,2363,720,POINT (-90.69581 37.154664)
ST FRANCIS CARDIOVASCU,NY,SMITHTOWN,0,1508,0,POINT (-73.197132 40.85496)
EMERGENCY MEDICINE SPE,OR,OREGON CITY,47320,11682,0,POINT (-122.590784 45.33675)
LAWRENCE FAMILY PRACTI,KS,LAWRENCE,3893,419,3716,POINT (-95.235957 38.973037)
SCRIPT DEPOT LP,CA,YUBA CITY,520,0,18180,POINT (-121.625147 39.13222)
CHATTANOOGA HAMILTON C,TN,CHATTANOOGA,1910,110420,0,POINT (-85.308287 35.045756)
ALLIANCE MEDICAL GOUP,ID,BOISE,410171,105387,428,POINT (-116.201579 43.615791)
RX CONSULTANTS GROUP I,CA,SOUTH GATE,0,0,51500,POINT (-118.206087 33.954211)
ADVANTAGECARE PHYSICAN,NY,NEW HYDE PARK,1893,0,715,POINT (-73.688398 40.735251)
ZRC PHARMACY LLC,OK,OKLAHOMA CITY,2480,0,16267,POINT (-97.521264 35.468494)
UNIVERSITY PHYSICAL ME,IL,CHICAGO,0,3333,0,POINT (-87.632398 41.883229)
ALLINA HEALTH SYSTEM,MN,SAINT PAUL,37333,10477,0,POINT (-93.094281 44.943719)
COOK CHILDRENS PHYSICI,MA,BOSTON,65801,60038,360,POINT (-71.056742 42.358894)
FLORIDA HOSPITAL PHYSI,FL,PALM HARBOR,109,272,0,POINT (-82.761963 28.079017)
NORTH BREVARD MEDICAL,FL,TITUSVILLE,27627,3990,0,POINT (-80.807594 28.609188)
ASHEVILLE RADIOLOGY AS,NC,ASHEVILLE,10310,16018,0,POINT (-82.550039 35.595889)
HOSPITALIST MEDICINE P,CA,LOS ANGELES,0,73171,0,POINT (-118.243344 34.052238)
LLEWELLYNS INC,PA,AVOCA,40,0,3440,POINT (-75.743749 41.334761)
FAMILY PRACTICE CENTER,PA,MONTOURSVILLE,0,0,77,POINT (-76.921909 41.24961)
INTEGRITAS EMERGENCY P,IL,MOUNT VERNON,2811,1116,0,POINT (-88.904734 38.317612)
VIERA HEART AND VASCUL,FL,MELBOURNE,0,479,0,POINT (-80.603516 28.079931)
PROMEDICA MONROE REGIO,MI,MONROE,174994,279328,5897,POINT (-83.397536 41.916455)
SUWANEE PEDIATRICS PC,GA,LAWRENCEVILLE,21999,2620,2720,POINT (-83.988245 33.955)
ST LUKES PHYSICIAN GRO,PA,FOUNTAIN HILL,5799,4481,0,POINT (-75.396841 40.602445)
SE EMERGENCY PHYSICIAN,TN,CLEVELAND,919,478,0,POINT (-84.8755 35.159867)
THE MOSES H CONE MEMOR,NC,KERNERSVILLE,601,1750,0,POINT (-80.074659 36.120257)
ARCARE,AR,SEARCY,80,2357,840,POINT (-91.736336 35.250783)
CLINTON URGENT CARE,IA,CLINTON,103,2101,0,POINT (-90.190747 41.838935)
GOLDEN TRIANGLE URGENT,MS,SALTILLO,9106,845,0,POINT (-88.68912 34.3768)
CAPE PHYSICIANS ASSOCI,NJ,RIO GRANDE,2223,219,221,POINT (-74.876724 39.013875)
ST JOHNS RADIOLOGY ASS,FL,SAINT AUGUSTINE,0,9,0,POINT (-81.316709 29.896004)
LEONARD J CHABERT MEDI,LA,HOUMA,416731,591949,296,POINT (-90.719367 29.595849)
UNIVERSITY OF FLORIDA,FL,JACKSONVILLE,109,0,0,POINT (-81.65676 30.325968)
HYDEN EMERGENCY PHYSIC,KY,HYDEN,1664,294,0,POINT (-83.373614 37.162296)
CHAPARRAL MEDICAL GROU,CA,RANCHO CUCAMONGA,0,0,40,POINT (-117.575764 34.106399)
A PLUS FAMILY HEALTHCA,KY,SONORA,8795,0,110,POINT (-85.892439 37.524076)
WARREN CLINIC INC,OK,MCALESTER,2375,1169,0,POINT (-95.766566 34.933784)
PINNACLE HEALTH MEDICA,PA,DILLSBURG,183,397,0,POINT (-77.035636 40.11086)
HUNTERDON PRIMARY CARE,NJ,WHITEHOUSE STATION,0,109,81,POINT (-74.768439 40.618182)
HARRISON COUNTY COMMUN,MO,BETHANY,122102,123644,80,POINT (-94.029587 40.26869)
HEALTHLINC,IN,KNOX,71,0,269,POINT (-86.620675 41.28806)
ALICE PECK DAY MEMORIA,NH,LEBANON,95591,15159,0,POINT (-72.250595 43.642425)
LIBERTY DOCTORS LLC,SC,GOOSE CREEK,0,0,2827,POINT (-80.038123 33.001149)
ELIZABETH LAKE URGENT,MI,WATERFORD,8372,2259,0,POINT (-83.383103 42.659169)
COX FAMILY MEDICINE PL,NC,CONNELLY SPRINGS,0,1803,0,POINT (-81.504448 35.741154)
CLINICAL CARE ASSOCIAT,NJ,CHERRY HILL,4263,5016,0,POINT (-75.030928 39.925801)
PRIORITY AMBULANCE,TN,KNOXVILLE,0,83037,0,POINT (-83.916677 35.962631)
PHYSICIANS FOR HEALTHY,CA,HEMET,62958,363810,0,POINT (-116.967316 33.747562)
UCHEALTH IMAGING SERVI,CO,BROOMFIELD,35,1168,0,POINT (-105.081661 39.923985)
ARKANSAS HEALTH GROUP,AR,PERRYVILLE,271,66,0,POINT (-92.800614 35.008136)
FIRST PHARMACY SERVICE,TN,MEMPHIS,3800,0,249328,POINT (-90.052136 35.143378)
FLORIDA HOSPITAL DELAN,FL,DELAND,298,625,0,POINT (-81.29927 29.028093)
CHRISTOPHER LEE STURCH,OK,DURANT,0,137,0,POINT (-96.387254 33.991879)
NOVARI CARE,FL,OCALA,22196,1689,40,POINT (-82.137789 29.189311)
INFORME HEALTHCARE IN,IN,INDIANAPOLIS,0,626,0,POINT (-86.156212 39.76845)
INTEGRALABS MDG INCORP,TN,JOHNSON CITY,32800,0,0,POINT (-82.342538 36.320614)
NORTH COAST PROFESSION,OH,VERMILION,18884,5954,0,POINT (-82.364611 41.422021)
FLORIDA HOSPITAL DADE,FL,DADE CITY,326780,1137721,0,POINT (-82.18912 28.364594)
FOUCHER EMERGENCY GROU,LA,NEW ORLEANS,103231,34825,0,POINT (-90.074948 29.950621)
NESHOBA COUNTY GENERAL,MS,PHILADELPHIA,477301,728913,2397,POINT (-89.115349 32.770384)
SADLER APOTHECARY INC,SC,CLINTON,40,0,12665,POINT (-81.880784 34.47264)
KEYES DRUG INC,MA,AUBURNDALE,0,0,6338,POINT (-71.25 42.347198)
CHILDRENS CLINIC OF PA,MS,PASCAGOULA,399,0,440,POINT (-88.547309 30.365765)
TEMECULA VALLEY EMERGE,CA,MURRIETA,101096,35409,0,POINT (-117.220777 33.559752)
ST CLARE HEALTH CENTER,MO,FENTON,174246,386009,0,POINT (-90.436736 38.512347)
CRESETTI DRUG CORP,NY,BROOKLYN,5631,0,100715,POINT (-73.990996 40.692529)
MEA PRIMARY CARE PLUS,MS,JACKSON,353,175,0,POINT (-90.183488 32.302897)
DRX NATICK PC DBA DOCT,MA,MARLBOROUGH,12008,883,0,POINT (-71.547181 42.346946)
SUTTER MEDICAL FOUNDAT,CA,LOS BANOS,30400,500,0,POINT (-120.845795 37.061242)
PREMIER HEALTH ASSOC I,OH,ALLIANCE,0,75,0,POINT (-81.105844 40.9125)
IMAGING ASSOCIATES OF,GA,BRUNSWICK,178,581,0,POINT (-81.50248 31.168992)
TRI CITIES REGIONAL EM,TN,BRISTOL,5300,178,0,POINT (-82.185697 36.58453)
SAN YSIDRO HEALTH CENT,CA,EL CAJON,7767,2259,10517,POINT (-116.962303 32.797484)
BMA WASHINGTON,MD,CAMP SPRINGS,0,0,80,POINT (-76.904702 38.801358)
LINCARE BILLING DEPT,AL,DOTHAN,0,10818,0,POINT (-85.391121 31.224297)
DOCTORS CARE PA,SC,MOUNT PLEASANT,19481,6087,0,POINT (-79.8765 32.790438)
DLP HAYWOOD REGIONAL M,NC,WAYNESVILLE,1285,297,0,POINT (-82.994 35.48121)
PEDIATRIC PHYSICIAN SE,FL,ST PETERSBURG,0,216,0,POINT (-82.638488 27.772069)
URGENT EMS,LA,SHREVEPORT,0,3868,80,POINT (-93.747757 32.51424)
HEALTHONE HEART CARE L,CO,LONE TREE,8,2956,0,POINT (-104.894929 39.550387)
MEDISURE INC,NJ,TOMS RIVER,5252,191,0,POINT (-74.198149 39.953394)
CENTRAL FLORIDA INPATI,FL,WINTER PARK,26480,2362,0,POINT (-81.33882 28.600246)
MCCI OF TEXAS HOSPITAL,FL,JUPITER,0,2145,0,POINT (-80.099736 26.934145)
DARTMOUTH HITCHCOCK CL,NH,MANCHESTER,123,0,0,POINT (-71.463091 42.990926)
HEMANTKUMAR G PATEL MD,NJ,MAPLEWOOD,0,3975,0,POINT (-74.278 40.730838)
RADIOLOGY ASSOCIATES A,NM,RIO RANCHO,596,205,0,POINT (-106.677074 35.307106)
ALLINA HEALTH SYSTEM,MN,WEST SAINT PAUL,1280,3014,0,POINT (-93.085266 44.898028)
MOSES CONE AFFILIATED,NC,MADISON,0,1757,0,POINT (-79.959617 36.38641)
ESMILKRYS RAMIREZ,IL,CHICAGO,35,65,17596,POINT (-87.632398 41.883229)
JACKSON COMMUNITY AMBU,MI,ANN ARBOR,0,420,0,POINT (-83.748478 42.281419)
FMG PRIMECARE LLC,AL,DOTHAN,13207,4826,0,POINT (-85.391121 31.224297)
JUNEAU URGENT AND FAMI,AK,JUNEAU,12745,539,11331,POINT (-134.424524 58.301084)
ANCHOR HEALTHCARE LLC,CA,LONG BEACH,0,0,179960,POINT (-118.193723 33.767168)
HEALTHEAST MEDICAL RES,MN,WOODBURY,4596,1741,20741,POINT (-92.93398 44.917503)
DMC PHYSICIANS GROUP L,GA,FITZGERALD,193,3016,1360,POINT (-83.251578 31.714791)
UNIVERSITY OF ROCHESTE,NY,WEBSTER,0,51,0,POINT (-77.430317 43.212215)
ST MARYS MEDICAL CTR,MN,DULUTH,155711,431198,44688,POINT (-92.105457 46.782882)
MERRIMACK RADIOLOGY CR,MA,HAVERHILL,0,20,0,POINT (-71.077334 42.777425)
SE EMERGENCY PHYSICIAN,TN,MEMPHIS,62459,19926,0,POINT (-90.052136 35.143378)
WARE COUNTY AMB SERVIC,GA,WAYCROSS,0,5161,0,POINT (-82.354193 31.213433)
C AND D DRUG STORE INC,AR,RUSSELLVILLE,40,0,10777,POINT (-93.133722 35.278146)
DOCTORS CARE PA,SC,FLORENCE,27112,5993,107,POINT (-79.761968 34.195772)
MOUNT CARMEL URGENT CA,OH,GROVE CITY,2035,3402,0,POINT (-83.09395 39.881846)
ST VINCENT DE PAUL VIL,CA,SAN DIEGO,6596,0,0,POINT (-117.163817 32.71576)
SOMERSET HOSPITAL,PA,SOMERSET,25874,61977,0,POINT (-79.078605 40.008431)
BAPTIST HEALTH MEDICAL,IL,CHICAGO,12468,6456,0,POINT (-87.632398 41.883229)
PAUL PODETT,OR,GRESHAM,611,76,1021,POINT (-122.427677 45.496729)
JERSEY COAST NEPHROLOG,NJ,BRICK,0,1016,0,POINT (-74.153109 40.074835)
MERCY HEALTH PHYSICIAN,OH,ENON,0,253,0,POINT (-83.936856 39.878455)
ISLAND HOSPITALIST GRO,FL,LAKEWOOD RANCH,0,184,0,POINT (-82.428322 27.432217)
DOCTORS COMMUNITY HOSP,MD,LANHAM,290109,2252509,0,POINT (-76.840272 38.964882)
BAPTIST HEALTH MEDICAL,FL,MIAMI,0,9715,0,POINT (-80.194702 25.775084)
ANDY PHARMACY,NY,NEW YORK,0,0,31234,POINT (-74.007228 40.713054)
TUFTS MEDICAL CENTER E,MA,BOSTON,94786,15816,0,POINT (-71.056742 42.358894)
PRIME MD OF NAPLES PLL,FL,NAPLES,0,0,840,POINT (-81.795483 26.147369)
DIALYSIS CENTERS OF AM,IL,SPRING VALLEY,0,0,40,POINT (-89.199844 41.326594)
ROBERT WOOD JOHNSON ME,NJ,TOMS RIVER,0,373,0,POINT (-74.198149 39.953394)
MERCY MEDICAL CENTER R,OR,ROSEBURG,86570,136375,0,POINT (-123.34528 43.210497)
DELPHI HOSPITALIST LLC,NY,MASSENA,0,88,0,POINT (-74.891824 44.928021)
NILKANTH AMS INC,CA,CALEXICO,31400,0,35160,POINT (-115.498657 32.676607)
JFK MEDICAL ASSOCIATES,NJ,PLAINFIELD,0,3496,0,POINT (-74.417332 40.614963)
DENVER HEALTH,CO,DENVER,158,241,0,POINT (-104.984853 39.738453)
THE METHODIST HOSPITAL,IL,CHICAGO,0,59,0,POINT (-87.632398 41.883229)
GRACE HEALTHCARE INC,MS,OCEAN SPRINGS,0,1313,0,POINT (-88.798599 30.412463)
ST JOSEPH HERITAGE HEA,GA,ATHENS,0,214,0,POINT (-83.376798 33.957412)
MINNICHS PHARMACY INC,PA,YORK,1400,0,9672,POINT (-76.734668 39.960339)
RADIOLOGY IMAGING ASSO,KS,DODGE CITY,0,109,0,POINT (-100.015167 37.76547)
FERESHTEH JAHAN 139608,CA,EL CAJON,0,0,280,POINT (-116.962303 32.797484)
AXEL HEALTH LLC,FL,FORT MYERS,5263,0,0,POINT (-81.825769 26.614149)
FIRST QUALITY LABORATO,FL,MIRAMAR,4568,0,0,POINT (-80.301479 25.985256)
EXCELSIOR INTEGRATED M,NY,FLUSHING,33668,0,0,POINT (-73.817802 40.765301)
AKRON GENERAL MEDICAL,OH,AKRON,0,83,0,POINT (-81.515607 41.084821)
OAKHURST EMS,NJ,OAKHURST,0,2274,0,POINT (-74.023691 40.26254)
ST GABRIELS HOSPITAL,MN,LITTLE FALLS,163478,137200,40,POINT (-94.364111 45.976708)
DOCTORS EMERGENCY ROOM,OR,SPRINGFIELD,50330,8732,0,POINT (-123.022054 44.046191)
ST CLAIR SPECIALTY PHY,OR,ONTARIO,0,1395,0,POINT (-116.975703 44.024804)
DOCTORS CARE PA,SC,CHARLESTON,21178,3792,37,POINT (-79.931027 32.77647)
VITAL MEDICAL FORCES O,NJ,DOVER,0,69039,0,POINT (-74.55945 40.884095)
NORWALK RADIOLOGY CONS,CT,NORWALK,660,4163,0,POINT (-73.412906 41.11805)
SHAVANO PHARMACY LLC,CO,BUENA VISTA,40,0,640,POINT (-106.132562 38.841772)
LK MANSFIELD LLC,KY,ELKTON,0,0,1398,POINT (-87.147603 36.808606)
MID FLORIDA EMERGENCY,FL,SEBRING,19067,25080,0,POINT (-81.444829 27.497977)
ESSEN MEDICAL ASSOCIAT,NY,BRONX,833,380,0,POINT (-73.920265 40.826153)
EPMG OF MICHIGAN PC,MI,BRIGHTON,132241,33110,0,POINT (-83.780312 42.529573)
HEARTLAND INTERNATIONA,IL,CHICAGO,59380,14908,182844,POINT (-87.632398 41.883229)
HOMETOWN PHARMACY INC,MI,KIMBALL,600,0,3256,POINT (-82.562527 42.947958)
MILLS PENINSULA MEDICA,CA,SAN MATEO,1745,0,0,POINT (-122.314351 37.547166)
R AND J DRUG COMPANY,TN,JOHNSON CITY,200,0,2989,POINT (-82.342538 36.320614)
WISHEK HOSPITAL CLINIC,ND,KULM,0,294,0,POINT (-98.952001 46.301768)
1ST CHOICE PHARMACY,FL,HOLIDAY,0,0,6882,POINT (-82.741195 28.187868)
APP OF EAST TENNESSEE,TN,KNOXVILLE,165483,18305,0,POINT (-83.916677 35.962631)
STEWARD MEDICAL GROUP,MA,FALL RIVER,0,162,40,POINT (-71.155389 41.701025)
PRENTISS PRIMARY CARE,MS,PRENTISS,5375,5078,760,POINT (-89.872586 31.588607)
CONCORD HOSPITAL FRANK,NH,FRANKLIN,1046,0,0,POINT (-71.658968 43.441594)
RT STANLEY HEALTH CENT,GA,LYONS,1678,18,0,POINT (-82.321825 32.204282)
ST JOHN PHYSICIANS INC,OK,SAPULPA,1170,23821,0,POINT (-96.114276 35.998586)
UNIVERSITY HOSPITALS L,OH,CLEVELAND,338390,3741,0,POINT (-81.6915 41.505546)
DESERT CRITICAL CARE T,CA,BLYTHE,0,573,0,POINT (-114.596827 33.610437)
AUBURN PHARMACY INC,KS,LOUISBURG,0,0,2377,POINT (-94.681085 38.620965)
WELLSTAR NORTH FULTON,GA,ROSWELL,295500,2425745,0,POINT (-84.361671 34.021654)
OXFORD CLINICAL LABORA,NJ,HALEDON,166855,102921,0,POINT (-74.184153 40.933533)
GWINNETT PULMONARY GRO,GA,DULUTH,131,8032,480,POINT (-84.145552 34.003794)
LEWIS FAMILY DRUG LLC,IA,MOVILLE,80,0,736,POINT (-96.075071 42.488822)
VAULT MEDICAL SERVICES,NY,NEW YORK,3693215,0,796858,POINT (-74.007228 40.713054)
GIANT EAGLE INC TAMARK,OH,NORTH CANTON,160,0,11759,POINT (-81.402456 40.877204)
GIANT EAGLE INC TAMARK,PA,NEW CASTLE,0,0,4320,POINT (-80.344422 41.003604)
CAROLINA MEDICORP ENTE,NC,CHARLOTTE,31732,4103,0,POINT (-80.840161 35.222936)
INDIANA INTERNAL MEDIC,IN,GREENWOOD,33,31,0,POINT (-86.117876 39.613576)
PALOUSE IMAGING CONSUL,ID,MOSCOW,0,516,0,POINT (-117.000002 46.733689)
RAI NORTH GAREY POMONA,CA,GLENDORA,0,0,40,POINT (-117.865485 34.136001)
GENESIS HEALTH SYSTEM,IA,DAVENPORT,39250,218726,0,POINT (-90.577036 41.523527)
HEALTHLINC,IN,SOUTH BEND,48,0,828,POINT (-86.251962 41.675032)
ACS PRIMARY CARE PHYSI,GA,AMERICUS,11020,7147,0,POINT (-84.232515 32.073306)
UNADILLA DRUG COMPANY,GA,UNADILLA,3880,0,93156,POINT (-83.736575 32.261745)
SKYCARE SERVICES LLC,SC,ROCK HILL,51,0,0,POINT (-81.0301 34.94133)
PHYSICIAN GROUP LC,MO,CENTRALIA,191,370,0,POINT (-92.138879 39.211581)
HESTER PHARMACY CORPOR,NY,NEW YORK,80,0,10755,POINT (-74.007228 40.713054)
SALUD INTEGRAL EN LA M,PR,BARRANQUITAS,25114,1770,7354,POINT (-66.306006 18.185308)
METRO EMERGENCY PHYSIC,MO,SMITHVILLE,21371,5665,0,POINT (-94.58084 39.387131)
BAY AREA HEART CENTER,FL,CLEARWATER,0,512,0,POINT (-82.799957 27.963991)
BMA BURLINGTON,NC,FAYETTEVILLE,0,0,160,POINT (-78.883659 35.054417)
CLARK REGIONAL MEDICAL,KY,WINCHESTER,189461,153189,176,POINT (-84.177782 37.991816)
TRISTAR BONE MARROW TR,TN,NASHVILLE,0,2372,0,POINT (-86.779932 36.166687)
EMERGENCY PHYSICIANS O,NE,NORTH PLATTE,4876,896,0,POINT (-100.763969 41.132507)
ASSOCIATED PHYSICIANS,MA,WORCESTER,44719,4152,0,POINT (-71.802278 42.262073)
COASTAL FAMILY HEALTH,MS,GULFPORT,53200,592,770,POINT (-89.091582 30.369834)
WAKE HEALTH SERVICES I,NC,FUQUAY VARINA,2704,164,0,POINT (-78.800849 35.584354)
NIJOLE GLAZE MD,CA,LYNWOOD,0,19080,0,POINT (-118.199166 33.928063)
FALLON MEDICAL COMPLEX,MT,BAKER,3305,23257,0,POINT (-104.27385 46.360926)
OAK VALLEY HOSPITAL DI,CA,OAKDALE,1370,19171,0,POINT (-120.847154 37.766595)
APPLE CREEK HEALTH AND,AR,CENTERTON,0,0,961,POINT (-94.284585 36.368823)
UNITED EMERGENCY SERVI,MS,COLUMBUS,180389,86529,0,POINT (-88.424393 33.495562)
THOMPSON ENTERPRISES I,OH,YOUNGSTOWN,435,247,0,POINT (-80.649387 41.100083)
BMA BURLINGTON,NC,CHARLOTTE,0,0,457,POINT (-80.840161 35.222936)
SAINT FRANCIS MEDICAL,NE,GRAND ISLAND,282428,1109592,0,POINT (-98.351412 40.920027)
INTEGRATED DERMATOLOLG,DC,WASHINGTON,106,0,0,POINT (-77.019912 38.892062)
COLUMBIA PRIMARY CARE,FL,MARGATE,390,9618,0,POINT (-80.204917 26.242534)
THE EMORY CLINIC,GA,TUCKER,3588,49311,0,POINT (-84.214594 33.853725)
WARREN CLINIC INC,OK,GLENPOOL,158,115,0,POINT (-96.008822 35.95517)
SURESH K SACHDEVA MD,CA,SAN RAMON,2800,0,3760,POINT (-121.978015 37.779927)
ARROWHEAD HEALTH CENTE,AZ,SURPRISE,81,0,0,POINT (-112.330171 33.628998)
INFECTIOUS DISEASE OF,AZ,TUCSON,0,6677,0,POINT (-110.971225 32.221878)
PREFERRED PHARMACY LLC,SC,RIDGELAND,40,0,4952,POINT (-80.980812 32.483118)
CMV PHARMACY INC,NY,MORRISVILLE,0,0,6591,POINT (-75.645966 42.898931)
VALLEY RX LLC,NJ,WAYNE,4080,0,23906,POINT (-74.231046 40.927178)
RAINBOW PEDIATRICS,NJ,CAPE MAY COURT HOUSE,4369,134,0,POINT (-74.823715 39.082363)
DEFIANCE RADIOLOGIST A,OH,DEFIANCE,0,461,0,POINT (-84.362106 41.286716)
CHOCTAW REGIONAL MEDIC,MS,LOUISVILLE,411,364,0,POINT (-89.054349 33.123519)
THE STONY HILL VOL FIR,CT,BETHEL,0,462,0,POINT (-73.407448 41.371727)
MEETING HOUSE LANE MED,NY,GREENPORT,0,256,0,POINT (-72.359119 41.102532)
BHATTI GI CONSULTANTS,MN,CHASKA,0,238,0,POINT (-93.601848 44.78933)
WESTPORT APOTHECARY,MA,WESTPORT,1760,0,11317,POINT (-71.060778 41.621146)
LOYOLA UNIVERSITY MEDI,IL,ELMWOOD PARK,0,286,0,POINT (-87.81597 41.923363)
EAST JEFFERSON EMERGEN,LA,METAIRIE,58279,38497,0,POINT (-90.155404 30.003581)
DRUGSCAN INC,PA,HORSHAM,682851,56217,0,POINT (-75.137135 40.182846)
MERCY CLINIC OKLAHOMA,OK,EDMOND,3230,1704,0,POINT (-97.481511 35.65314)
LODI VOLUNTEER AMBULAN,NJ,LODI,0,3185,0,POINT (-74.079159 40.883146)
SACRED HEART HEALTH SY,FL,PANAMA CITY,353,5626,4255,POINT (-85.73078 30.185159)
BLUEGRASS COMMUNITY PR,KY,LEXINGTON,929,71,835,POINT (-84.497021 38.046356)
PIRATE PEDIATRICS PA,NC,GREENVILLE,643,0,1078,POINT (-77.3741 35.611332)
FAMILY MEDICINE AND RE,NC,MORRISVILLE,3123,0,0,POINT (-78.823028 35.819652)
AGAPE FAMILY HEALTH CE,FL,JACKSONVILLE,266398,17998,16293,POINT (-81.65676 30.325968)
ANIL K SHARMA MD,NJ,TOMS RIVER,0,3021,0,POINT (-74.198149 39.953394)
IOWA PHYSICIANS CLINIC,IA,GRIMES,71,0,1748,POINT (-93.791062 41.690307)
EUREKA DRUG,MT,EUREKA,0,0,7817,POINT (-115.0535 48.879965)
MINDEN MEDICAL CENTER,LA,MINDEN,41568,176788,2188,POINT (-93.286199 32.615324)
BOSTON CHILDRENS HEALT,NY,HAWTHORNE,6637,997,0,POINT (-73.795471 41.107679)
